id,title,genre_ids,poster_path
82702,Cómo entrenar a tu dragón 2,"[14, 28, 12, 16, 35, 10751]",img_movies/bXcRw7FL8QzUZOvY2fZdwDv5ymQ.jpg
9732,El rey león 2: El tesoro de Simba,"[10751, 12, 16, 18]",img_movies/zdD5VcvTD43p048ueswYdgLJZh.jpg
49013,Cars 2,"[16, 10751, 12, 35]",img_movies/eQo1LQs5Vo9RHVHYUhNSfMZa3VB.jpg
527774,Raya y el último dragón,"[16, 10751, 14, 28, 12]",img_movies/hbjOtofNpvFvhzBUUoZGAjkjjsl.jpg
8392,Mi vecino Totoro,"[14, 16, 10751]",img_movies/uu6RaEAfkIQaolf20axWaRU4h3w.jpg
940551,Migración. Un viaje patas arriba,"[10751, 35, 12, 16]",img_movies/diEeiB2DmZZadHISkg24RO2n0rT.jpg
10681,WALL·E: Batallón de limpieza,"[16, 10751, 878]",img_movies/5CXpoYB2YAZRPBcv9pjkgR6tZ0X.jpg
1449951,Snow White,"[16, 10751, 14]",img_movies/pEK0Ir45l1e0QvpBTsCu0hVwTDm.jpg
10020,La bella y la bestia,"[10749, 10751, 16, 14]",img_movies/1FxMtEUc6DP1MXsTBftOFaoCVVO.jpg
11688,El emperador y sus locuras,"[12, 16, 35, 10751, 14]",img_movies/deHXdFwP071QCseVHdfpdteYojS.jpg
10198,Tiana y el sapo,"[16, 10749, 14, 10751]",img_movies/lSNqVycC40mujo0tiRZvp6Ef5qQ.jpg
15121,Sonrisas y lágrimas,"[18, 10751, 10402, 10749]",img_movies/3mYxH1mwSmNoyZF4xvDvcEpH18F.jpg
585083,Hotel Transilvania: Transformanía,"[16, 35, 10751, 12, 14]",img_movies/xNF8AxJc966FWk4SYqXxGHaZLHZ.jpg
20352,Gru. Mi villano favorito,"[10751, 35, 16]",img_movies/AsaaPLSfisdFDeasEd9r0GiZVss.jpg
666154,Kayara. La guerrera del imperio Inca,"[16, 12, 10751]",img_movies/A1DSh29atQjLZCVCddMyGw1mbM8.jpg
14160,Up,"[16, 35, 10751, 12]",img_movies/1N0LtzUueXrlnpL466jQBJ6iAuj.jpg
166428,Cómo entrenar a tu dragón 3,"[16, 10751, 12]",img_movies/rhnoAReqO3Xoe6GbJhT3409lnq8.jpg
438695,¡Canta! 2,"[10751, 35, 10402, 16]",img_movies/9iIDsw7RJHYU94z7k4mbYP5IlYT.jpg
11544,Lilo y Stitch,"[16, 10751, 35]",img_movies/9jrmKyhNGam2pj89bcxmhQzXCNo.jpg
953,Madagascar,"[10751, 16, 12, 35]",img_movies/zrV5GnfCcLWzyjrFgYTpjQPRMfl.jpg
8355,Ice Age 3: El origen de los dinosaurios,"[16, 35, 10751, 12]",img_movies/zufHIdp8szvgkt8VCnJEF2fo1tN.jpg
675353,Sonic 2: La película,"[28, 12, 10751, 35]",img_movies/sJiHVM0A3OXDVxl4Z6a7ihMPHfm.jpg
32657,Percy Jackson y el ladrón del rayo,"[12, 14, 10751]",img_movies/piKMSnCCT0oqLZ9GWAALXX9e1qh.jpg
118,Charlie y la fábrica de chocolate,"[12, 35, 10751, 14]",img_movies/voJEk0WNtrcawz2hN9AwdNbvhrp.jpg
698687,Transformers One,"[16, 878, 12, 10751]",img_movies/1jzVCZxBmgvpGILuEU8icfX77Io.jpg
947478,Diplodocus,"[16, 10751, 12, 14, 35]",img_movies/i4Kg6mP4RAcm70mbk8lLgkfnQmp.jpg
35,Los Simpson: La película,"[16, 35, 10751]",img_movies/d9wHkwF9ttnNKuOoEIStve32jEk.jpg
921655,El rescate de Ruby,"[10751, 18]",img_movies/3Lj8U4iOShgHY0A9QulBMx8NuOs.jpg
52611,El Ratón Pérez 2,"[16, 10751]",img_movies/3GQPIn1W4RQCkVWUMJzeZTiMgrF.jpg
568124,Encanto,"[16, 35, 10751, 14]",img_movies/d0ezQ1Jz0lpNsX1skEmIvqRL7mN.jpg
223402,Hokus pokus Albert Åberg,"[16, 10751]",img_movies/gGBqF6eyZQZbc8H2T9xCVRWEuuZ.jpg
38055,Megamind,"[16, 28, 35, 10751, 878]",img_movies/i8YhVqSx6QlqIAHJ60vEZzpiCfe.jpg
508947,Red,"[16, 10751, 35, 14]",img_movies/djM4COTksd5YRIdd9uEl8eA3iaa.jpg
10439,El retorno de las brujas,"[14, 35, 10751]",img_movies/hnRo1RB791GbpERgV7cnM2sek2V.jpg
12,Buscando a Nemo,"[16, 10751]",img_movies/jPhak722pNGxQIXSEfeWIUqBrO5.jpg
47296,Rainbow Brite y el ladrón de estrellas,"[16, 10751, 878, 14, 12]",img_movies/xkWcd5DQSob8P4chI02yPLe52jd.jpg
301528,Toy Story 4,"[10751, 35, 16]",img_movies/yF1vPDuHVrAUMX5dy1tVMbAjkEL.jpg
260514,Cars 3,"[10751, 35, 12, 16, 18]",img_movies/4tp9W3QAbQcpanBtBceZtHD10UT.jpg
102651,Maléfica,"[14, 12, 28, 10751, 10749]",img_movies/i8qn2A0Qfjj45EXlZVt92WnX7iH.jpg
76492,Hotel Transilvania,"[16, 35, 10751, 14]",img_movies/zvWlwBGQWuJ0wog65q1uS37BApC.jpg
454626,Sonic: La película,"[28, 878, 35, 10751]",img_movies/rK25c71fYVi0Bv7RrTChK7NAQjC.jpg
587301,Los profesores de Saint-Denis,"[18, 35, 10751]",img_movies/8DUfrmlyXofxXzJLLKWrDJEnape.jpg
17880,Mi mejor amigo,"[10751, 35, 18]",img_movies/wfJlioOs1DFu6O7aEsUnXkKaBN6.jpg
132601,The Reef 2: High Tide,"[16, 10751]",img_movies/3ZmLU8yQ7R63lmjImnJzItb0jM7.jpg
787699,Wonka,"[35, 10751, 14]",img_movies/6eHcR7zwvNSvkOl9jbctU0lvZQ1.jpg
920,Cars,"[16, 12, 35, 10751]",img_movies/lgBe9KD6DoLyQP28JZ6fSUGK8j0.jpg
893723,La Patrulla Canina: La superpelícula,"[10751, 35, 12, 16]",img_movies/74UljzdgFuYo0BqzuEO2s2azObe.jpg
1094473,"Bambi, una vida en el bosque","[99, 10751, 12]",img_movies/fvtIXQH4JcifptPe0J9GfLDIOAQ.jpg
857702,LEGO Star Wars Cuentos escalofriantes,"[16, 10751, 878, 35, 10770]",img_movies/bcPzH8PjdISs6yrqCIDEEPpRX7O.jpg
896536,La Leyenda de Ochi,"[10751, 14, 12]",img_movies/uyz9qcZdIrUqVrwly3KB5oPUKZO.jpg
926670,Henry Danger: La película,"[28, 35, 10751, 878]",img_movies/dTHEq2PIRAIq4COayxraiGiaajX.jpg
774370,Policán,"[10751, 35, 12, 16]",img_movies/fYrX4Xn8hIaIBx5p1HRFJ3uG7uH.jpg
404378,Un gato callejero llamado Bob,"[10751, 18]",img_movies/2UbeVhIHUVAkFJvHA94TwRCvRhs.jpg
330457,Frozen 2,"[10751, 16, 12, 35, 14]",img_movies/jnFCk7qGGWop2DgfnJXeKLZFuBq.jpg
46195,Río,"[16, 12, 35, 10751]",img_movies/ydExhIrbFvPedN9tSIHzzniU1Dd.jpg
1319969,Sketch. Cuidado con lo que dibujas,"[12, 14, 35, 10751]",img_movies/4zjK2DNOMaVT7kd6mYjqf56FIHr.jpg
62177,Indomable,"[16, 12, 35, 10751, 28, 14]",img_movies/eVt6IKkzKqNs80TX0JVan6sjH5Z.jpg
508883,El chico y la garza,"[16, 12, 14, 10751, 18]",img_movies/cUZop9T440Bx25P8Ptc0qXkLYEa.jpg
791155,El cuartel secreto,"[28, 12, 35, 878, 10751]",img_movies/hpH62pdEhkeXnbj4qchqz4QssuR.jpg
606856,Togo,"[12, 10751]",img_movies/921q4gPNN4J6UxvKaw6SCNBe3F8.jpg
1243341,Zombies 4: Un verano entre vampiros,"[10402, 12, 10749, 35, 10751]",img_movies/6EHx7lOm1jvNTr6lqRxiqmnFFDt.jpg
516729,Paddington: Aventura en la selva,"[10751, 35, 12, 9648]",img_movies/mlqvgdzoFkUULsQtXFkO7xHLFqF.jpg
12429,Ponyo en el acantilado,"[16, 14, 10751]",img_movies/zSbeQ5DQ2z4TKoazh1I613cNxj4.jpg
639720,Amigos imaginarios,"[35, 14, 10751]",img_movies/8RgGuC7w8JxhykauzTC4bwha1J8.jpg
447277,La sirenita,"[12, 10751, 14, 10749]",img_movies/mdszPVnIY7cWgbgJ8zbwu1PiU5V.jpg
321612,La bella y la bestia,"[10751, 14, 10749]",img_movies/2q38CCkPvhm8DVHazY9QLQtHQoO.jpg
93456,Gru 2. Mi villano favorito,"[16, 35, 10751]",img_movies/hhksXOBVJ6Mu2BwAFgPJwZxNisd.jpg
278154,Ice Age: El gran cataclismo,"[12, 16, 10751, 35, 878]",img_movies/vgxlqI40AUXmpBzcwlLsYZI5EcR.jpg
950,Ice Age 2: El deshielo,"[16, 10751, 35, 12]",img_movies/q3D7vBGrJVrVrZSJjVQN8lN0e6c.jpg
82690,¡Rompe Ralph!,"[10751, 16, 35, 12]",img_movies/lTpE4JQ2C09NicqvDhwi70IRz62.jpg
508442,Soul,"[16, 10751, 35, 14, 18]",img_movies/xJ7MCAy4oCLerPo3JjnB8lKOhl4.jpg
9820,Tú a Londres y yo a California,"[35, 10751, 10749]",img_movies/3JyIUavN6byTNKjWXupCCvRljRF.jpg
420818,El rey león,"[12, 18, 10751, 16]",img_movies/eGfq90BF8QGCMpncF2ag0lGTgKk.jpg
81188,El origen de los guardianes,"[16, 10751, 14, 28, 12]",img_movies/deTVL9lgx1yegoN4JXSdRcrVr6m.jpg
11224,La Cenicienta,"[10751, 14, 16, 10749]",img_movies/vqzeSm5Agvio7DahhKXaySUbUUW.jpg
438148,Minions: El origen de Gru,"[10751, 35, 12, 16]",img_movies/fzwG3cukayxKpCK0lqS1jkSBqJk.jpg
11011,Niño rico,"[35, 10751]",img_movies/mnp39mPqGiPTP8jZmfaKrVfalMi.jpg
198436,"Antboy, el pequeño gran superhéroe","[35, 12, 10751]",img_movies/db8a23rqcErLLuU3TG5gJJNJCPH.jpg
550084,Reunidos en Navidad,"[10751, 10770]",img_movies/6oA3qHkTFt64rH3RhE7YewuRIlo.jpg
13017,Tortuga contra Liebre,"[16, 10751, 35]",img_movies/3WwgKQEKKIthH3lzcvhApRV1s3U.jpg
9487,"Bichos, una aventura en miniatura","[10751, 16, 12, 35, 18]",img_movies/3zc9gBzw0egrp7lMrE0zqFkNMms.jpg
49444,Kung Fu Panda 2,"[16, 10751, 35]",img_movies/aNji9U9SPTecmoqGippQUBEyouy.jpg
38575,The Karate Kid,"[28, 12, 18, 10751]",img_movies/tHoASPhXRGJM6XFvDooJHIFcP3r.jpg
73723,Lorax. En busca de la trúfula perdida,"[16, 10751]",img_movies/b7FMtquHglzxIi938cHIgVQuPx5.jpg
10144,La sirenita,"[16, 10751, 14]",img_movies/Vc0KvO7z2OzEbRs6nyZs9xD81s.jpg
772,Solo en casa 2: Perdido en Nueva York,"[35, 10751, 12]",img_movies/7sdiRUyc0ANHJptPhsgb1KL6hoq.jpg
44683,Campanilla y el gran rescate,"[16, 12, 10751, 14]",img_movies/AmUOjwjgz1vGnAmnR51NVv0hqAe.jpg
11836,Bob Esponja: La película,"[10751, 35, 12, 16]",img_movies/CtISczftMz6g7kyk5uLxBben8b.jpg
459151,El bebé jefazo: Negocios de familia,"[16, 35, 12, 10751]",img_movies/6KRFqIAE5gz35b1kZoFcrqmfOj2.jpg
1084153,Sneaks,"[10751, 35, 12, 16]",img_movies/oayXSQHQRk8VNavoXJw7lK1N6aI.jpg
158852,Tomorrowland: El mundo del mañana,"[12, 10751, 9648, 878]",img_movies/go6qA8ksn5gkXcDnW3WtMeqzAg8.jpg
345938,La cabaña,"[18, 10751]",img_movies/d7qG9sdCTo3uBeWXpxKehplvr8B.jpg
21448,La navidad mágica de Mickey,"[16, 10751, 35]",img_movies/hwDIo4sYJXPN0LbQtYe0afMCxcE.jpg
10202,Más allá de los sueños,"[14, 35, 10751, 10749]",img_movies/5iq64cFqv2CCevuxlVIJjdvIAa5.jpg
508943,Luca,"[16, 35, 14, 12, 10751]",img_movies/pr06RihHOGE3waZQx5fs2WYUdwr.jpg
630,El mago de Oz,"[12, 14, 10751]",img_movies/ymUY2iIm8IuSYuIX1SsABgPyB48.jpg
16859,"Nicky, la aprendiz de bruja","[16, 10751, 18, 14]",img_movies/psw0tp25DNBkdEAfwjZYcgbpgme.jpg
292750,Las aventuras de Tim y Buck,"[10751, 12, 37]",img_movies/ogPDUh1Nt22IJrsK2P1dEzkFBZ3.jpg
518527,Meghan y Harry: Un Romance Real,"[10749, 10751, 10770]",img_movies/2ODzSaM8EKF28mGjNTH3ptb3BJu.jpg
10555,El espantatiburones,"[16, 28, 35, 10751]",img_movies/3vI17Q3mfkIEpvwItomxMy5w1gw.jpg
57800,Ice Age 4: La formación de los continentes,"[16, 35, 12, 10751]",img_movies/qYiZOCXkOYtYfolUUdJKoZ8xPsL.jpg
882206,LOL Surprise: La Película,"[16, 10751]",img_movies/cHbgXVQk2t1taAUFC4RoP2fL6po.jpg
1265,Un puente hacia Terabithia,"[12, 18, 10751]",img_movies/mL5Tpzxqr9hb5zwbnN3DRzVKyuY.jpg
140870,Minúsculos: El valle de las hormigas perdidas,"[16, 12, 10751]",img_movies/wISdgPE7KZ4xXdciDXr7K4sbx1E.jpg
335797,¡Canta!,"[10751, 35, 10402, 16]",img_movies/c76KUCWUqBDHFB9H5Yz9qCY9XBa.jpg
754272,Las aventuras de la Familia Fox,"[12, 10751]",img_movies/6ypM0AhARyw0CJ66qtAfVhgwXw0.jpg
15512,Monstruos contra alienígenas,"[16, 10751, 12, 878]",img_movies/pNRkYUevzL34QyeKRMe7MjvDj20.jpg
974262,Los descendientes: Corazón rebelde,"[14, 12, 10751, 35]",img_movies/57XarHzHxeDouUyjAb6BpVxIkC0.jpg
140300,Kung Fu Panda 3,"[16, 28, 12, 35, 10751]",img_movies/t11f8palNbICK9Ip5QLrUfhLJYq.jpg
324963,Monster High: Fantasmagóricas,"[16, 10751, 14]",img_movies/mOzpgvJ9Wo3Vczwh4b29JNylXZl.jpg
12092,Alicia en el País de las Maravillas,"[16, 10751, 14, 12]",img_movies/zOJKtTdToc8FcjmmbavkjUxv2Ue.jpg
9325,El libro de la selva,"[10751, 16, 12]",img_movies/1w8wk8htVPW5cdCYnRU4bt5y5Fw.jpg
1109207,Taz: búsqueda de hamburguesa,"[35, 10751, 16, 12]",img_movies/qS2KvIftgBf32ijeMuAwb6DbHkP.jpg
